TITLE="Euler"
 VARIABLES="x","y","rho","p","u","v"
ZONE I=         100 J=         100 F=POINT
0.000000000000000000e+00 2.121212121212121271e-01 9.793110489845275879e-01 9.702658653259277344e-01 -7.311406135559082031e-01 5.182443857192993164e-01
0.000000000000000000e+00 2.222222222222222376e-01 9.752094745635986328e-01 9.647072553634643555e-01 -7.275385856628417969e-01 5.219982862472534180e-01
0.000000000000000000e+00 2.323232323232323482e-01 9.704408049583435059e-01 9.582394361495971680e-01 -7.233142852783203125e-01 5.263382792472839355e-01
0.000000000000000000e+00 2.424242424242424310e-01 9.649680852890014648e-01 9.508081674575805664e-01 -7.184129953384399414e-01 5.312963724136352539e-01
0.000000000000000000e+00 2.525252525252525415e-01 9.587756395339965820e-01 9.423897266387939453e-01 -7.127921581268310547e-01 5.368850231170654297e-01
0.000000000000000000e+00 2.626262626262626521e-01 9.518750905990600586e-01 9.329997301101684570e-01 -7.064247131347656250e-01 5.430898070335388184e-01
0.000000000000000000e+00 2.727272727272727626e-01 9.443069100379943848e-01 9.226964712142944336e-01 -6.993033885955810547e-01 5.498674511909484863e-01
0.000000000000000000e+00 2.828282828282828731e-01 9.361405968666076660e-01 9.115818738937377930e-01 -6.914412975311279297e-01 5.571427345275878906e-01
0.000000000000000000e+00 2.929292929292929282e-01 9.274723529815673828e-01 8.997961282730102539e-01 -6.828746795654296875e-01 5.648107528686523438e-01
0.000000000000000000e+00 3.030303030303030387e-01 9.184207916259765625e-01 8.875117301940917969e-01 -6.736618280410766602e-01 5.727428197860717773e-01
0.000000000000000000e+00 3.131313131313131493e-01 9.091178178787231445e-01 8.749200105667114258e-01 -6.638790369033813477e-01 5.807929039001464844e-01
0.000000000000000000e+00 3.232323232323232598e-01 8.997038006782531738e-01 8.622207641601562500e-01 -6.536179780960083008e-01 5.888048410415649414e-01
0.000000000000000000e+00 3.333333333333333703e-01 8.903180360794067383e-01 8.496105670928955078e-01 -6.429785490036010742e-01 5.966212749481201172e-01
0.000000000000000000e+00 3.434343434343434809e-01 8.810938000679016113e-01 8.372731208801269531e-01 -6.320662498474121094e-01 6.040901541709899902e-01
0.000000000000000000e+00 3.535353535353535914e-01 8.721531033515930176e-01 8.253728151321411133e-01 -6.209844350814819336e-01 6.110688447952270508e-01
0.000000000000000000e+00 3.636363636363636465e-01 8.636031746864318848e-01 8.140503168106079102e-01 -6.098334789276123047e-01 6.174299716949462891e-01
0.000000000000000000e+00 3.737373737373737570e-01 8.555346131324768066e-01 8.034205436706542969e-01 -5.987076759338378906e-01 6.230621933937072754e-01
0.000000000000000000e+00 3.838383838383838675e-01 8.480205535888671875e-01 7.935724258422851562e-01 -5.876926183700561523e-01 6.278729438781738281e-01
0.000000000000000000e+00 3.939393939393939781e-01 8.411175012588500977e-01 7.845711708068847656e-01 -5.768680572509765625e-01 6.317870616912841797e-01
0.000000000000000000e+00 4.040404040404040886e-01 8.348652720451354980e-01 7.764582633972167969e-01 -5.663053989410400391e-01 6.347497701644897461e-01
0.000000000000000000e+00 4.141414141414141992e-01 8.292877674102783203e-01 7.692549228668212891e-01 -5.560693740844726562e-01 6.367240548133850098e-01
0.000000000000000000e+00 4.242424242424242542e-01 8.243955969810485840e-01 7.629649639129638672e-01 -5.462193489074707031e-01 6.376910209655761719e-01
0.000000000000000000e+00 4.343434343434343647e-01 8.201861977577209473e-01 7.575757503509521484e-01 -5.368090867996215820e-01 6.376487612724304199e-01
0.000000000000000000e+00 4.444444444444444753e-01 8.166470527648925781e-01 7.530629634857177734e-01 -5.278874635696411133e-01 6.366101503372192383e-01
0.000000000000000000e+00 4.545454545454545858e-01 8.137562870979309082e-01 7.493925094604492188e-01 -5.194984674453735352e-01 6.346007585525512695e-01
0.000000000000000000e+00 4.646464646464646964e-01 8.114861845970153809e-01 7.465232610702514648e-01 -5.116826295852661133e-01 6.316571831703186035e-01
0.000000000000000000e+00 4.747474747474748069e-01 8.098047375679016113e-01 7.444111108779907227e-01 -5.044758319854736328e-01 6.278226375579833984e-01
0.000000000000000000e+00 4.848484848484848619e-01 8.086779117584228516e-01 7.430108785629272461e-01 -4.979103505611419678e-01 6.231448054313659668e-01
0.000000000000000000e+00 4.949494949494949725e-01 8.080722093582153320e-01 7.422794103622436523e-01 -4.920152723789215088e-01 6.176724433898925781e-01
0.000000000000000000e+00 5.050505050505050830e-01 8.079557418823242188e-01 7.421776056289672852e-01 -4.868166148662567139e-01 6.114527583122253418e-01
0.000000000000000000e+00 5.151515151515152491e-01 8.082997202873229980e-01 7.426712512969970703e-01 -4.823367893695831299e-01 6.045324802398681641e-01
0.000000000000000000e+00 5.252525252525253041e-01 8.090776801109313965e-01 7.437311410903930664e-01 -4.785966575145721436e-01 5.969567298889160156e-01
0.000000000000000000e+00 5.353535353535353591e-01 8.102653622627258301e-01 7.453310489654541016e-01 -4.756098687648773193e-01 5.887718796730041504e-01
0.000000000000000000e+00 5.454545454545455252e-01 8.118376731872558594e-01 7.474452257156372070e-01 -4.733838737010955811e-01 5.800318121910095215e-01
0.000000000000000000e+00 5.555555555555555802e-01 8.137651681900024414e-01 7.500417232513427734e-01 -4.719119369983673096e-01 5.708006620407104492e-01
0.000000000000000000e+00 5.656565656565657463e-01 8.160100579261779785e-01 7.530776262283325195e-01 -4.711700975894927979e-01 5.611605644226074219e-01
0.000000000000000000e+00 5.757575757575758013e-01 8.185210227966308594e-01 7.564923763275146484e-01 -4.711106717586517334e-01 5.512117147445678711e-01
0.000000000000000000e+00 5.858585858585858563e-01 8.212325572967529297e-01 7.602022886276245117e-01 -4.716634452342987061e-01 5.410732030868530273e-01
0.000000000000000000e+00 5.959595959595960224e-01 8.240648508071899414e-01 7.641037702560424805e-01 -4.727437198162078857e-01 5.308712720870971680e-01
0.000000000000000000e+00 6.060606060606060774e-01 8.269322514533996582e-01 7.680791616439819336e-01 -4.742725193500518799e-01 5.207242369651794434e-01
0.000000000000000000e+00 6.161616161616162435e-01 8.297576904296875000e-01 7.720124721527099609e-01 -4.762078821659088135e-01 5.107238292694091797e-01
0.000000000000000000e+00 6.262626262626262985e-01 8.324894905090332031e-01 7.758051156997680664e-01 -4.785896241664886475e-01 5.009251832962036133e-01
0.000000000000000000e+00 6.363636363636364646e-01 8.351250290870666504e-01 7.793886661529541016e-01 -4.816011488437652588e-01 4.913722276687622070e-01
0.000000000000000000e+00 6.464646464646465196e-01 8.377451896667480469e-01 7.827262878417968750e-01 -4.856658875942230225e-01 4.821800589561462402e-01
0.000000000000000000e+00 6.565656565656565746e-01 8.406131267547607422e-01 7.858539819717407227e-01 -4.915551841259002686e-01 4.736268222332000732e-01
0.000000000000000000e+00 6.666666666666667407e-01 8.443866372108459473e-01 7.890613079071044922e-01 -5.001547336578369141e-01 4.658944010734558105e-01
0.000000000000000000e+00 6.767676767676767957e-01 8.498733639717102051e-01 7.927609682083129883e-01 -5.108566284179687500e-01 4.582028388977050781e-01
0.000000000000000000e+00 6.868686868686869618e-01 8.566442728042602539e-01 7.958368062973022461e-01 -5.232157707214355469e-01 4.505579471588134766e-01
0.000000000000000000e+00 6.969696969696970168e-01 1.716179013252258301e+00 7.996405363082885742e-01 7.937870025634765625e-01 3.766984939575195312e-01
0.000000000000000000e+00 7.070707070707071829e-01 1.735230922698974609e+00 8.192820549011230469e-01 7.898167371749877930e-01 3.888028562068939209e-01
0.000000000000000000e+00 7.171717171717172379e-01 1.761441349983215332e+00 8.396936655044555664e-01 7.856898307800292969e-01 4.019390642642974854e-01
0.000000000000000000e+00 7.272727272727272929e-01 1.793271780014038086e+00 8.618488311767578125e-01 7.797901630401611328e-01 4.162600338459014893e-01
0.000000000000000000e+00 7.373737373737374590e-01 1.828210592269897461e+00 8.852124214172363281e-01 7.737221717834472656e-01 4.313200414180755615e-01
0.000000000000000000e+00 7.474747474747475140e-01 1.863148093223571777e+00 9.083071947097778320e-01 7.681679725646972656e-01 4.460500776767730713e-01
0.000000000000000000e+00 7.575757575757576801e-01 1.895168781280517578e+00 9.294556379318237305e-01 7.634438872337341309e-01 4.593411087989807129e-01
0.000000000000000000e+00 7.676767676767677351e-01 1.922286987304687500e+00 9.474236965179443359e-01 7.596610188484191895e-01 4.704870879650115967e-01
0.000000000000000000e+00 7.777777777777777901e-01 1.943736314773559570e+00 9.617121219635009766e-01 7.567834854125976562e-01 4.792846441268920898e-01
0.000000000000000000e+00 7.878787878787879562e-01 1.959803462028503418e+00 9.725000858306884766e-01 7.546821236610412598e-01 4.859194457530975342e-01
0.000000000000000000e+00 7.979797979797980112e-01 1.971391916275024414e+00 9.803701639175415039e-01 7.531902194023132324e-01 4.907742440700531006e-01
0.000000000000000000e+00 8.080808080808081773e-01 1.979568362236022949e+00 9.860118627548217773e-01 7.521470785140991211e-01 4.942693114280700684e-01
0.000000000000000000e+00 8.181818181818182323e-01 1.985285401344299316e+00 9.900376796722412109e-01 7.514206171035766602e-01 4.967696666717529297e-01
0.000000000000000000e+00 8.282828282828283983e-01 1.989283442497253418e+00 9.929193258285522461e-01 7.509135603904724121e-01 4.985584914684295654e-01
0.000000000000000000e+00 8.383838383838384534e-01 1.992096304893493652e+00 9.949948787689208984e-01 7.505583763122558594e-01 4.998417496681213379e-01
0.000000000000000000e+00 8.484848484848485084e-01 1.994094610214233398e+00 9.965000152587890625e-01 7.503089308738708496e-01 5.007655620574951172e-01
0.000000000000000000e+00 8.585858585858586745e-01 1.995531797409057617e+00 9.975986480712890625e-01 7.501333951950073242e-01 5.014318823814392090e-01
0.000000000000000000e+00 8.686868686868687295e-01 1.996580243110656738e+00 9.984050989151000977e-01 7.500101327896118164e-01 5.019130110740661621e-01
0.000000000000000000e+00 8.787878787878788955e-01 1.997356772422790527e+00 9.990007877349853516e-01 7.499232888221740723e-01 5.022597312927246094e-01
0.000000000000000000e+00 8.888888888888889506e-01 1.997940301895141602e+00 9.994428157806396484e-01 7.498618364334106445e-01 5.025084018707275391e-01
0.000000000000000000e+00 8.989898989898991166e-01 1.998385071754455566e+00 9.997726678848266602e-01 7.498185634613037109e-01 5.026850700378417969e-01
0.000000000000000000e+00 9.090909090909091717e-01 1.998729109764099121e+00 1.000020027160644531e+00 7.497881650924682617e-01 5.028086900711059570e-01
0.000000000000000000e+00 9.191919191919192267e-01 1.998998999595642090e+00 1.000206232070922852e+00 7.497671842575073242e-01 5.028934478759765625e-01
0.000000000000000000e+00 9.292929292929293927e-01 1.999212861061096191e+00 1.000346899032592773e+00 7.497527599334716797e-01 5.029489398002624512e-01
0.000000000000000000e+00 9.393939393939394478e-01 1.999384760856628418e+00 1.000453710556030273e+00 7.497434616088867188e-01 5.029833316802978516e-01
0.000000000000000000e+00 9.494949494949496138e-01 1.999524593353271484e+00 1.000534892082214355e+00 7.497380971908569336e-01 5.030014514923095703e-01
0.000000000000000000e+00 9.595959595959596689e-01 1.999638319015502930e+00 1.000596761703491211e+00 7.497352361679077148e-01 5.030081272125244141e-01
0.000000000000000000e+00 9.696969696969697239e-01 1.999732851982116699e+00 1.000643968582153320e+00 7.497351169586181641e-01 5.030062198638916016e-01
0.000000000000000000e+00 9.797979797979798899e-01 1.999811291694641113e+00 1.000679850578308105e+00 7.497363090515136719e-01 5.029982924461364746e-01
0.000000000000000000e+00 9.898989898989899450e-01 1.999876737594604492e+00 1.000707149505615234e+00 7.497388124465942383e-01 5.029858350753784180e-01
0.000000000000000000e+00 1.000000000000000000e+00 1.999931931495666504e+00 1.000727653503417969e+00 7.497422695159912109e-01 5.029703974723815918e-01
1.010101010101010187e-02 0.000000000000000000e+00 9.993563890457153320e-01 9.982978105545043945e-01 -7.496527433395385742e-01 4.993812739849090576e-01
1.010101010101010187e-02 1.010101010101010187e-02 9.992432594299316406e-01 9.980984926223754883e-01 -7.494617700576782227e-01 4.994826018810272217e-01
1.010101010101010187e-02 2.020202020202020374e-02 9.991144537925720215e-01 9.978749752044677734e-01 -7.492533922195434570e-01 4.995957016944885254e-01
1.010101010101010187e-02 3.030303030303030387e-02 9.989663958549499512e-01 9.976217746734619141e-01 -7.490245103836059570e-01 4.997247457504272461e-01
1.010101010101010187e-02 4.040404040404040747e-02 9.987944960594177246e-01 9.973331689834594727e-01 -7.487728595733642578e-01 4.998741447925567627e-01
1.010101010101010187e-02 5.050505050505051108e-02 9.985928535461425781e-01 9.970012903213500977e-01 -7.484945058822631836e-01 5.000503063201904297e-01
1.010101010101010187e-02 6.060606060606060774e-02 9.983544349670410156e-01 9.966171979904174805e-01 -7.481851577758789062e-01 5.002603530883789062e-01
1.010101010101010187e-02 7.070707070707071829e-02 9.980703592300415039e-01 9.961693286895751953e-01 -7.478390932083129883e-01 5.005141496658325195e-01
1.010101010101010187e-02 8.080808080808081495e-02 9.977297186851501465e-01 9.956437349319458008e-01 -7.474489212036132812e-01 5.008227825164794922e-01
1.010101010101010187e-02 9.090909090909091161e-02 9.973192811012268066e-01 9.950226545333862305e-01 -7.470058202743530273e-01 5.012010931968688965e-01
1.010101010101010187e-02 1.010101010101010222e-01 9.968222379684448242e-01 9.942849874496459961e-01 -7.464966773986816406e-01 5.016657114028930664e-01
1.010101010101010187e-02 1.111111111111111188e-01 9.962179064750671387e-01 9.934037923812866211e-01 -7.459062337875366211e-01 5.022372007369995117e-01
1.010101010101010187e-02 1.212121212121212155e-01 9.954810738563537598e-01 9.923464059829711914e-01 -7.452141046524047852e-01 5.029397010803222656e-01
1.010101010101010187e-02 1.313131313131313260e-01 9.945815205574035645e-01 9.910726547241210938e-01 -7.443945407867431641e-01 5.038015842437744141e-01
1.010101010101010187e-02 1.414141414141414366e-01 9.934820532798767090e-01 9.895342588424682617e-01 -7.434157133102416992e-01 5.048559308052062988e-01
1.010101010101010187e-02 1.515151515151515194e-01 9.921389818191528320e-01 9.876732826232910156e-01 -7.422387599945068359e-01 5.061403512954711914e-01
1.010101010101010187e-02 1.616161616161616299e-01 9.905015826225280762e-01 9.854220151901245117e-01 -7.408173084259033203e-01 5.076981782913208008e-01
1.010101010101010187e-02 1.717171717171717404e-01 9.885116219520568848e-01 9.827016592025756836e-01 -7.390977144241333008e-01 5.095782876014709473e-01
1.010101010101010187e-02 1.818181818181818232e-01 9.861049056053161621e-01 9.794245958328247070e-01 -7.370201349258422852e-01 5.118333101272583008e-01
1.010101010101010187e-02 1.919191919191919338e-01 9.832122325897216797e-01 9.754960536956787109e-01 -7.345188856124877930e-01 5.145215988159179688e-01
1.010101010101010187e-02 2.020202020202020443e-01 9.797638058662414551e-01 9.708178043365478516e-01 -7.315250635147094727e-01 5.177020430564880371e-01
1.010101010101010187e-02 2.121212121212121271e-01 9.756923913955688477e-01 9.652951955795288086e-01 -7.279698848724365234e-01 5.214325189590454102e-01
1.010101010101010187e-02 2.222222222222222376e-01 9.709395170211791992e-01 9.588444232940673828e-01 -7.237875461578369141e-01 5.257645845413208008e-01
1.010101010101010187e-02 2.323232323232323482e-01 9.654619097709655762e-01 9.514024257659912109e-01 -7.189198732376098633e-01 5.307374000549316406e-01
1.010101010101010187e-02 2.424242424242424310e-01 9.592376947402954102e-01 9.429366588592529297e-01 -7.133197784423828125e-01 5.363702178001403809e-01
1.010101010101010187e-02 2.525252525252525415e-01 9.522711038589477539e-01 9.334529638290405273e-01 -7.069554328918457031e-01 5.426579713821411133e-01
1.010101010101010187e-02 2.626262626262626521e-01 9.445968270301818848e-01 9.230018854141235352e-01 -6.998145580291748047e-01 5.495638847351074219e-01
1.010101010101010187e-02 2.727272727272727626e-01 9.362802505493164062e-01 9.116791486740112305e-01 -6.919066905975341797e-01 5.570193529129028320e-01
1.010101010101010187e-02 2.828282828282828731e-01 9.274145960807800293e-01 8.996223211288452148e-01 -6.832643747329711914e-01 5.649251937866210938e-01
1.010101010101010187e-02 2.929292929292929282e-01 9.181169271469116211e-01 8.870027065277099609e-01 -6.739429235458374023e-01 5.731551647186279297e-01
1.010101010101010187e-02 3.030303030303030387e-01 9.085211753845214844e-01 8.740149736404418945e-01 -6.640180349349975586e-01 5.815632939338684082e-01
1.010101010101010187e-02 3.131313131313131493e-01 8.987697362899780273e-01 8.608634471893310547e-01 -6.535801887512207031e-01 5.899931788444519043e-01
1.010101010101010187e-02 3.232323232323232598e-01 8.890061378479003906e-01 8.477507829666137695e-01 -6.427301168441772461e-01 5.982843041419982910e-01
1.010101010101010187e-02 3.333333333333333703e-01 8.793684244155883789e-01 8.348684310913085938e-01 -6.315730810165405273e-01 6.062805056571960449e-01
1.010101010101010187e-02 3.434343434343434809e-01 8.699843883514404297e-01 8.223888874053955078e-01 -6.202141046524047852e-01 6.138333678245544434e-01
1.010101010101010187e-02 3.535353535353535914e-01 8.609670400619506836e-01 8.104612827301025391e-01 -6.087533235549926758e-01 6.208093762397766113e-01
1.010101010101010187e-02 3.636363636363636465e-01 8.524129986763000488e-01 7.992078065872192383e-01 -5.972853899002075195e-01 6.270896792411804199e-01
1.010101010101010187e-02 3.737373737373737570e-01 8.444017767906188965e-01 7.887260913848876953e-01 -5.858951807022094727e-01 6.325731873512268066e-01
1.010101010101010187e-02 3.838383838383838675e-01 8.369963765144348145e-01 7.790884971618652344e-01 -5.746616125106811523e-01 6.371757388114929199e-01
1.010101010101010187e-02 3.939393939393939781e-01 8.302421569824218750e-01 7.703435420989990234e-01 -5.636543035507202148e-01 6.408326029777526855e-01
1.010101010101010187e-02 4.040404040404040886e-01 8.241695165634155273e-01 7.625200748443603516e-01 -5.529367923736572266e-01 6.434962153434753418e-01
1.010101010101010187e-02 4.141414141414141992e-01 8.187952041625976562e-01 7.556277513504028320e-01 -5.425668954849243164e-01 6.451364159584045410e-01
1.010101010101010187e-02 4.242424242424242542e-01 8.141213059425354004e-01 7.496596574783325195e-01 -5.325958728790283203e-01 6.457409858703613281e-01
1.010101010101010187e-02 4.343434343434343647e-01 8.101399540901184082e-01 7.445960044860839844e-01 -5.230724811553955078e-01 6.453127264976501465e-01
1.010101010101010187e-02 4.444444444444444753e-01 8.068327307701110840e-01 7.404059171676635742e-01 -5.140402317047119141e-01 6.438686847686767578e-01
1.010101010101010187e-02 4.545454545454545858e-01 8.041738271713256836e-01 7.370492219924926758e-01 -5.055401325225830078e-01 6.414381861686706543e-01
1.010101010101010187e-02 4.646464646464646964e-01 8.021317720413208008e-01 7.344817519187927246e-01 -4.976091086864471436e-01 6.380600929260253906e-01
1.010101010101010187e-02 4.747474747474748069e-01 8.006711006164550781e-01 7.326556444168090820e-01 -4.902811348438262939e-01 6.337789297103881836e-01
1.010101010101010187e-02 4.848484848484848619e-01 7.997559905052185059e-01 7.315234541893005371e-01 -4.835877120494842529e-01 6.286436915397644043e-01
1.010101010101010187e-02 4.949494949494949725e-01 7.993506789207458496e-01 7.310411930084228516e-01 -4.775572717189788818e-01 6.227021217346191406e-01
1.010101010101010187e-02 5.050505050505050830e-01 7.994223237037658691e-01 7.311689853668212891e-01 -4.722185432910919189e-01 6.160017251968383789e-01
1.010101010101010187e-02 5.151515151515152491e-01 7.999415397644042969e-01 7.318730950355529785e-01 -4.675963222980499268e-01 6.085873246192932129e-01
1.010101010101010187e-02 5.252525252525253041e-01 8.008815646171569824e-01 7.331244945526123047e-01 -4.637145102024078369e-01 6.005033850669860840e-01
1.010101010101010187e-02 5.353535353535353591e-01 8.022184371948242188e-01 7.348992228507995605e-01 -4.605937302112579346e-01 5.917963385581970215e-01
1.010101010101010187e-02 5.454545454545455252e-01 8.039273619651794434e-01 7.371727824211120605e-01 -4.582465589046478271e-01 5.825200676918029785e-01
1.010101010101010187e-02 5.555555555555555802e-01 8.059792518615722656e-01 7.399147748947143555e-01 -4.566723406314849854e-01 5.727422833442687988e-01
1.010101010101010187e-02 5.656565656565657463e-01 8.083358407020568848e-01 7.430839538574218750e-01 -4.558515846729278564e-01 5.625492930412292480e-01
1.010101010101010187e-02 5.757575757575758013e-01 8.109462261199951172e-01 7.466194629669189453e-01 -4.557391107082366943e-01 5.520486235618591309e-01
1.010101010101010187e-02 5.858585858585858563e-01 8.137440681457519531e-01 7.504390478134155273e-01 -4.562658369541168213e-01 5.413672924041748047e-01
1.010101010101010187e-02 5.959595959595960224e-01 8.166489005088806152e-01 7.544370889663696289e-01 -4.573467075824737549e-01 5.306402444839477539e-01
1.010101010101010187e-02 6.060606060606060774e-01 8.195743560791015625e-01 7.584961652755737305e-01 -4.589004218578338623e-01 5.199911594390869141e-01
1.010101010101010187e-02 6.161616161616162435e-01 8.224439620971679688e-01 7.624998092651367188e-01 -4.608855545520782471e-01 5.095150470733642578e-01
1.010101010101010187e-02 6.262626262626262985e-01 8.252063989639282227e-01 7.663512229919433594e-01 -4.633454382419586182e-01 4.992665350437164307e-01
1.010101010101010187e-02 6.363636363636364646e-01 8.278622031211853027e-01 7.699817419052124023e-01 -4.664716422557830811e-01 4.892914295196533203e-01
1.010101010101010187e-02 6.464646464646465196e-01 8.305010199546813965e-01 7.733564376831054688e-01 -4.707013070583343506e-01 4.797135293483734131e-01
1.010101010101010187e-02 6.565656565656565746e-01 8.334148526191711426e-01 7.765257358551025391e-01 -4.768155515193939209e-01 4.708093404769897461e-01
1.010101010101010187e-02 6.666666666666667407e-01 8.373297452926635742e-01 7.798298597335815430e-01 -4.856359660625457764e-01 4.626800715923309326e-01
1.010101010101010187e-02 6.767676767676767957e-01 8.430367708206176758e-01 7.836413383483886719e-01 -4.963741600513458252e-01 4.544913172721862793e-01
1.010101010101010187e-02 6.868686868686869618e-01 8.501216769218444824e-01 7.867046594619750977e-01 -5.098422765731811523e-01 4.467391371726989746e-01
1.010101010101010187e-02 6.969696969696970168e-01 1.700688004493713379e+00 7.911292314529418945e-01 7.953710556030273438e-01 3.705815076828002930e-01
1.010101010101010187e-02 7.070707070707071829e-01 1.720534920692443848e+00 8.099466562271118164e-01 7.922073006629943848e-01 3.823327124118804932e-01
1.010101010101010187e-02 7.171717171717172379e-01 1.746560811996459961e+00 8.300790786743164062e-01 7.879056930541992188e-01 3.953649103641510010e-01
1.010101010101010187e-02 7.272727272727272929e-01 1.778326392173767090e+00 8.521127700805664062e-01 7.819366455078125000e-01 4.097247123718261719e-01
1.010101010101010187e-02 7.373737373737374590e-01 1.813642382621765137e+00 8.756639957427978516e-01 7.757501602172851562e-01 4.250538349151611328e-01
1.010101010101010187e-02 7.474747474747475140e-01 1.849655389785766602e+00 8.994101285934448242e-01 7.699875831604003906e-01 4.403473138809204102e-01
1.010101010101010187e-02 7.575757575757576801e-01 1.883436203002929688e+00 9.216690063476562500e-01 7.649812698364257812e-01 4.544542729854583740e-01
1.010101010101010187e-02 7.676767676767677351e-01 1.912728309631347656e+00 9.410349130630493164e-01 7.608863115310668945e-01 4.665394127368927002e-01
1.010101010101010187e-02 7.777777777777777901e-01 1.936392545700073242e+00 9.567604064941406250e-01 7.577133178710937500e-01 4.762503206729888916e-01
1.010101010101010187e-02 7.878787878787879562e-01 1.954417467117309570e+00 9.688225984573364258e-01 7.553611993789672852e-01 4.836689233779907227e-01
1.010101010101010187e-02 7.979797979797980112e-01 1.967561721801757812e+00 9.777075052261352539e-01 7.536739110946655273e-01 4.891389012336730957e-01
1.010101010101010187e-02 8.080808080808081773e-01 1.976889491081237793e+00 9.841024875640869141e-01 7.524872422218322754e-01 4.930890500545501709e-01
1.010101010101010187e-02 8.181818181818182323e-01 1.983422517776489258e+00 9.886664152145385742e-01 7.516593933105468750e-01 4.959146976470947266e-01
1.010101010101010187e-02 8.282828282828283983e-01 1.987985849380493164e+00 9.919269084930419922e-01 7.510815858840942383e-01 4.979331493377685547e-01
1.010101010101010187e-02 8.383838383838384534e-01 1.991186499595642090e+00 9.942698478698730469e-01 7.506769895553588867e-01 4.993785023689270020e-01
1.010101010101010187e-02 8.484848484848485084e-01 1.993451118469238281e+00 9.959651231765747070e-01 7.503924965858459473e-01 5.004179477691650391e-01
1.010101010101010187e-02 8.585858585858586745e-01 1.995071530342102051e+00 9.972007274627685547e-01 7.501924037933349609e-01 5.011676549911499023e-01
1.010101010101010187e-02 8.686868686868687295e-01 1.996246933937072754e+00 9.981067180633544922e-01 7.500516176223754883e-01 5.017098188400268555e-01
1.010101010101010187e-02 8.787878787878788955e-01 1.997111797332763672e+00 9.987750053405761719e-01 7.499524354934692383e-01 5.021017193794250488e-01
1.010101010101010187e-02 8.888888888888889506e-01 1.997757554054260254e+00 9.992710351943969727e-01 7.498826384544372559e-01 5.023842453956604004e-01
1.010101010101010187e-02 8.989898989898991166e-01 1.998247146606445312e+00 9.996409416198730469e-01 7.498331069946289062e-01 5.025866031646728516e-01
1.010101010101010187e-02 9.090909090909091717e-01 1.998623371124267578e+00 9.999182224273681641e-01 7.497984170913696289e-01 5.027303099632263184e-01
